Horodate;Sous profil;Groupe période mobile;Coefficient dynamique j+1;Indicateur dispersion des poids;Indicateur de précision
2023-04-12T23:30:00+02:00;RES3_BUHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-SUD_HC;NA;0.7026645255;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_BUHC;NA;2.1933623366;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-SUD_HC;NA;0.6150922165;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES11_BASE;NA;0.9546996146;100.0;100.0
2023-04-12T23:30:00+02:00;PRD3_BASE;NA;6.104e-07;100.0;100.0
2023-04-12T23:30:00+02:00;RES3_RHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-BRET_HC;NA;0.866223485;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO5_BASE;NA;1.313158361;100.0;100.0
2023-04-12T23:30:00+02:00;PRO2_HC;NA;1.6980621865;100.0;100.0
2023-04-12T23:30:00+02:00;RES1_BASE;NA;0.7827111243;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-NORD_HC;NA;0.6542394803;100.0;100.0
2023-04-12T23:30:00+02:00;RES3_RHC;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-NORD_HC;NA;0.7830056573;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_BCHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES3_BCHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-PACA_HC;NA;0.5708157486;100.0;100.0
2023-04-12T23:30:00+02:00;RES3_BCHC;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO2_HP;NA;0.450502108;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_BCHC;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_BUHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-BRET_HC;NA;0.5702071443;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES2_HC;NA;2.2483205379;100.0;100.0
2023-04-12T23:30:00+02:00;RES2_HP;NA;0.5609898426;100.0;100.0
2023-04-12T23:30:00+02:00;RES3_BUHC;NA;3.4360058016;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO4-PACA_HC;NA;0.6223258675;100.0;100.0
2023-04-12T23:30:00+02:00;PRO1_BASE;NA;0.7329457937;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_RHC;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;PRO3_RHP;NA;0.0;100.0;100.0
2023-04-12T23:30:00+02:00;RES4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_BCHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_BUHC;NA;4.0786243568;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_BUHC;NA;2.2854407656;100.0;100.0
2023-04-12T23:00:00+02:00;RES2_HP;NA;0.7358818416;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-NORD_HC;NA;0.8206868533;100.0;100.0
2023-04-12T23:00:00+02:00;PRO1_BASE;NA;0.7534083013;100.0;100.0
2023-04-12T23:00:00+02:00;PRO5_BASE;NA;1.4136771489;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_BUHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-NORD_HC;NA;0.67222134;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_RHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-SUD_HC;NA;0.636920912;100.0;100.0
2023-04-12T23:00:00+02:00;PRO2_HP;NA;0.6189862707;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-PACA_HC;NA;0.6540849956;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_BUHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-BRET_HC;NA;0.903461081;100.0;100.0
2023-04-12T23:00:00+02:00;PRO2_HC;NA;1.3466019334;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_BCHC;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES1_BASE;NA;0.8637953328;100.0;100.0
2023-04-12T23:00:00+02:00;RES2_HC;NA;1.8981051851;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_BCHC;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_RHC;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-PACA_HC;NA;0.5910743482;100.0;100.0
2023-04-12T23:00:00+02:00;PRD3_BASE;NA;9.702e-07;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_BCHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-BRET_HC;NA;0.5957344389;100.0;100.0
2023-04-12T23:00:00+02:00;RES3_RHC;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES11_BASE;NA;1.0078376337;100.0;100.0
2023-04-12T23:00:00+02:00;PRO3_RHP;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;PRO4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T23:00:00+02:00;RES4-SUD_HC;NA;0.7470811762;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-PACA_HC;NA;0.6517675338;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-SUD_HC;NA;0.6736196618;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES1_BASE;NA;0.9739587472;100.0;100.0
2023-04-12T22:30:00+02:00;RES2_HP;NA;0.8728886638;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_BCHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_BUHC;NA;4.7181818084;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO5_BASE;NA;1.7660488615;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-NORD_HC;NA;0.8725587629;100.0;100.0
2023-04-12T22:30:00+02:00;PRO2_HP;NA;0.7405397129;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_BCHC;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_BCHC;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_BUHC;NA;2.3838501042;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_BUHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_RHC;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_BUHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_RHC;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_RHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRD3_BASE;NA;2.0086e-06;100.0;100.0
2023-04-12T22:30:00+02:00;PRO2_HC;NA;1.1055707797;100.0;100.0
2023-04-12T22:30:00+02:00;RES3_BCHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO3_RHP;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-BRET_HC;NA;0.6159189633;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T22:30:00+02:00;PRO4-NORD_HC;NA;0.6937101042;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-PACA_HC;NA;0.6474981571;100.0;100.0
2023-04-12T22:30:00+02:00;RES11_BASE;NA;1.0812656603;100.0;100.0
2023-04-12T22:30:00+02:00;RES2_HC;NA;1.6050661078;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-SUD_HC;NA;0.7879376555;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-BRET_HC;NA;0.9598534851;100.0;100.0
2023-04-12T22:30:00+02:00;PRO1_BASE;NA;0.7764486703;100.0;100.0
2023-04-12T22:30:00+02:00;RES4-BRET_PM;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;RES4-BRET_HC;NA;1.0303190113;100.0;100.0
2023-04-12T22:00:00+02:00;RES4-SUD_PM;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;PRO4-NORD_PM;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;PRO4-PACA_HC;NA;0.6813324388;100.0;100.0
2023-04-12T22:00:00+02:00;RES11_BASE;NA;1.1453957803;100.0;100.0
2023-04-12T22:00:00+02:00;PRD3_BASE;NA;1.7964e-06;100.0;100.0
2023-04-12T22:00:00+02:00;PRO2_HP;NA;1.0097566921;100.0;100.0
2023-04-12T22:00:00+02:00;PRO3_BCHC;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;PRO3_RHC;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;RES3_BUHC;NA;5.011109081;100.0;100.0
2023-04-12T22:00:00+02:00;RES4-PACA_PM;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;PRO1_BASE;NA;0.7986989544;100.0;100.0
2023-04-12T22:00:00+02:00;RES2_HP;NA;1.2293515898;100.0;100.0
2023-04-12T22:00:00+02:00;RES3_BCHC;NA;0.0;100.0;100.0
2023-04-12T22:00:00+02:00;PRO4-SUD_HC;NA;0.7187161654;100.0;100.0
