Année,Code IRIS,Nom IRIS,Numéro de voie,Indice de répétition,Type de voie,Libellé de voie,Code INSEE de la commune,Nom de la commune,Segment de client,Nombre de logements,Consommation annuelle totale de l'adresse (MWh),Consommation annuelle moyenne par logement de l'adresse (MWh),Consommation annuelle moyenne de la commune (MWh),Adresse,Tri des adresses
2021,751166215,Muette 15,16,,RUE,DE PASSY,75056,Paris,RESIDENTIEL,18,42.24,2.347,3.013,16 RUE DE PASSY,258629
2021,751166215,Muette 15,12,,RUE,DE PASSY,75056,Paris,RESIDENTIEL,15,60.381,4.025,3.013,12 RUE DE PASSY,258633
2021,751135012,Gare 12,77,,RUE,DE PATAY,75056,Paris,RESIDENTIEL,34,69.415,2.042,3.013,77 RUE DE PATAY,258645
2021,751135014,Gare 14,68,,RUE,DE PATAY,75056,Paris,RESIDENTIEL,11,53.368,4.852,3.013,68 RUE DE PATAY,258650
2021,751135014,Gare 14,64,,RUE,DE PATAY,75056,Paris,RESIDENTIEL,14,48.138,3.438,3.013,64 RUE DE PATAY,258652
2021,751135012,Gare 12,3,,RUE,DE PATAY,75056,Paris,RESIDENTIEL,10,83.745,8.374,3.013,3 RUE DE PATAY,258663
2021,751135012,Gare 12,25,,RUE,DE PATAY,75056,Paris,RESIDENTIEL,12,34.7,2.892,3.013,25 RUE DE PATAY,258664
2021,751145624,Plaisance 24,1,,RUE,DE PERCEVAL,75056,Paris,RESIDENTIEL,15,74.678,4.979,3.013,1 RUE DE PERCEVAL,258691
2021,751197518,Amérique 18,3,,RUE,DE PERIGUEUX,75056,Paris,RESIDENTIEL,15,28.281,1.885,3.013,3 RUE DE PERIGUEUX,258694
2021,751114305,Roquette 5,12,,CITE,DE PHALSBOURG,75056,Paris,RESIDENTIEL,17,112.418,6.613,3.013,12 CITE DE PHALSBOURG,258707
2021,751176603,Plaine Monceau 3,8,,RUE,DE PHALSBOURG,75056,Paris,RESIDENTIEL,17,68.787,4.046,3.013,8 RUE DE PHALSBOURG,258709
2021,751176603,Plaine Monceau 3,4,,RUE,DE PHALSBOURG,75056,Paris,RESIDENTIEL,16,60.887,3.805,3.013,4 RUE DE PHALSBOURG,258712
2021,751031004,Enfants Rouges 4,13,,RUE,DE PICARDIE,75056,Paris,RESIDENTIEL,10,30.135,3.014,3.013,13 RUE DE PICARDIE,258729
2021,751124624,Picpus 24,71,,BOULEVARD,DE PICPUS,75056,Paris,RESIDENTIEL,14,37.096,2.65,3.013,71 BOULEVARD DE PICPUS,258745
2021,751124514,Bel-Air 14,70,,BOULEVARD,DE PICPUS,75056,Paris,RESIDENTIEL,24,102.67,4.278,3.013,70 BOULEVARD DE PICPUS,258746
2021,751124507,Bel-Air 7,42,,BOULEVARD,DE PICPUS,75056,Paris,RESIDENTIEL,15,50.783,3.386,3.013,42 BOULEVARD DE PICPUS,258763
2021,751124505,Bel-Air 5,40,,BOULEVARD,DE PICPUS,75056,Paris,RESIDENTIEL,36,60.398,1.678,3.013,40 BOULEVARD DE PICPUS,258764
2021,751124614,Picpus 14,90,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,20,19.993,1.0,3.013,90 RUE DE PICPUS,258794
2021,751124615,Picpus 15,59,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,17,27.991,1.647,3.013,59 RUE DE PICPUS,258809
2021,751124622,Picpus 22,4,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,11,34.765,3.16,3.013,4 RUE DE PICPUS,258812
2021,751124616,Picpus 16,36,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,478,724.663,1.516,3.013,36 RUE DE PICPUS,258813
2021,751124616,Picpus 16,32,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,18,123.077,6.838,3.013,32 RUE DE PICPUS,258815
2021,751124617,Picpus 17,16,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,26,60.149,2.313,3.013,16 RUE DE PICPUS,258823
2021,751124601,Picpus 1,132,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,17,106.767,6.28,3.013,132 RUE DE PICPUS,258834
2021,751124504,Bel-Air 4,103,,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,67,111.271,1.661,3.013,103 RUE DE PICPUS,258847
2021,751124614,Picpus 14,92,B,RUE,DE PICPUS,75056,Paris,RESIDENTIEL,20,32.346,1.617,3.013,92 B RUE DE PICPUS,258851
2021,751145614,Plaisance 14,3,,RUE,DE PLAISANCE,75056,Paris,RESIDENTIEL,11,28.831,2.621,3.013,3 RUE DE PLAISANCE,258868
2021,751145614,Plaisance 14,28,,RUE,DE PLAISANCE,75056,Paris,RESIDENTIEL,10,23.62,2.362,3.013,28 RUE DE PLAISANCE,258870
2021,751156004,Javel 4,3,,RUE,DE PLELO,75056,Paris,RESIDENTIEL,38,101.89,2.681,3.013,3 RUE DE PLELO,258879
2021,751051704,Saint-Victor 4,28,,RUE,DE POISSY,75056,Paris,RESIDENTIEL,14,53.018,3.787,3.013,28 RUE DE POISSY,258893
2021,751051704,Saint-Victor 4,15,,RUE,DE POISSY,75056,Paris,RESIDENTIEL,27,99.312,3.678,3.013,15 RUE DE POISSY,258895
2021,751031003,Enfants Rouges 3,40,,RUE,DE POITOU,75056,Paris,RESIDENTIEL,11,34.001,3.091,3.013,40 RUE DE POITOU,258902
2021,751031104,Les Archives 4,37,,RUE,DE POITOU,75056,Paris,RESIDENTIEL,11,32.334,2.939,3.013,37 RUE DE POITOU,258904
2021,751124701,Bercy 1,1,,RUE,DE POMMARD,75056,Paris,RESIDENTIEL,49,105.444,2.152,3.013,1 RUE DE POMMARD,258918
2021,751083004,Faubourg du Roule 4,70,,RUE,DE PONTHIEU,75056,Paris,RESIDENTIEL,12,39.663,3.305,3.013,70 RUE DE PONTHIEU,258929
2021,751083003,Faubourg du Roule 3,63,,RUE,DE PONTHIEU,75056,Paris,RESIDENTIEL,14,65.074,4.648,3.013,63 RUE DE PONTHIEU,258932
2021,751083004,Faubourg du Roule 4,60,,RUE,DE PONTHIEU,75056,Paris,RESIDENTIEL,28,53.799,1.921,3.013,60 RUE DE PONTHIEU,258935
2021,751051902,Val de Grâce 2,80,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,17,40.653,2.391,3.013,80 BOULEVARD DE PORT ROYAL,258978
2021,751051902,Val de Grâce 2,72,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,26,88.006,3.385,3.013,72 BOULEVARD DE PORT ROYAL,258979
2021,751051803,Jardin des Plantes 3,6,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,15,31.199,2.08,3.013,6 BOULEVARD DE PORT ROYAL,258986
2021,751051901,Val de Grâce 1,58,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,24,62.414,2.601,3.013,58 BOULEVARD DE PORT ROYAL,258987
2021,751135206,Croulebarbe 6,55,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,20,42.838,2.142,3.013,55 BOULEVARD DE PORT ROYAL,258989
2021,751051901,Val de Grâce 1,42,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,11,41.888,3.808,3.013,42 BOULEVARD DE PORT ROYAL,258996
2021,751135207,Croulebarbe 7,35,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,28,52.414,1.872,3.013,35 BOULEVARD DE PORT ROYAL,258999
2021,751135207,Croulebarbe 7,29,,BOULEVARD,DE PORT ROYAL,75056,Paris,RESIDENTIEL,42,44.958,1.07,3.013,29 BOULEVARD DE PORT ROYAL,259002
2021,751135122,Maison Blanche 22,12,,RUE,DE POUY,75056,Paris,RESIDENTIEL,19,23.275,1.225,3.013,12 RUE DE POUY,259041
2021,751124807,Quinze-Vingts 7,8,,RUE,DE PRAGUE,75056,Paris,RESIDENTIEL,119,201.899,1.697,3.013,8 RUE DE PRAGUE,259044
2021,751155917,Grenelle 17,24,,RUE,DE PRESLES,75056,Paris,RESIDENTIEL,54,211.261,3.912,3.013,24 RUE DE PRESLES,259059
2021,751176608,Plaine Monceau 8,95,,RUE,DE PRONY,75056,Paris,RESIDENTIEL,24,63.184,2.633,3.013,95 RUE DE PRONY,259066
2021,751176608,Plaine Monceau 8,77,,RUE,DE PRONY,75056,Paris,RESIDENTIEL,25,107.745,4.31,3.013,77 RUE DE PRONY,259070
2021,751176608,Plaine Monceau 8,75,,RUE,DE PRONY,75056,Paris,RESIDENTIEL,29,36.878,1.272,3.013,75 RUE DE PRONY,259071
2021,751051808,Jardin des Plantes 8,5,,RUE,DE QUATREFAGES,75056,Paris,RESIDENTIEL,24,79.126,3.297,3.013,5 RUE DE QUATREFAGES,259113
2021,751051808,Jardin des Plantes 8,14,,RUE,DE QUATREFAGES,75056,Paris,RESIDENTIEL,40,108.758,2.719,3.013,14 RUE DE QUATREFAGES,259115
2021,751051808,Jardin des Plantes 8,12,,RUE,DE QUATREFAGES,75056,Paris,RESIDENTIEL,36,104.661,2.907,3.013,12 RUE DE QUATREFAGES,259116
2021,751051808,Jardin des Plantes 8,1,B,RUE,DE QUATREFAGES,75056,Paris,RESIDENTIEL,17,52.168,3.069,3.013,1 B RUE DE QUATREFAGES,259119
2021,751124802,Quinze-Vingts 2,7,,RUE,DE RAMBOUILLET,75056,Paris,RESIDENTIEL,13,47.711,3.67,3.013,7 RUE DE RAMBOUILLET,259129
2021,751124802,Quinze-Vingts 2,11,,RUE,DE RAMBOUILLET,75056,Paris,RESIDENTIEL,13,70.588,5.43,3.013,11 RUE DE RAMBOUILLET,259136
2021,751135019,Gare 19,9,,RUE,DE REIMS,75056,Paris,RESIDENTIEL,21,91.659,4.365,3.013,9 RUE DE REIMS,259139
2021,751166117,Auteuil 17,29,,RUE,DE REMUSAT,75056,Paris,RESIDENTIEL,52,87.351,1.68,3.013,29 RUE DE REMUSAT,259151
2021,751166128,Auteuil 28,10,,RUE,DE REMUSAT,75056,Paris,RESIDENTIEL,30,84.066,2.802,3.013,10 RUE DE REMUSAT,259160
2021,751062310,Notre-Dame des Champs 10,94,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,20,51.709,2.585,3.013,94 RUE DE RENNES,259167
2021,751062311,Notre-Dame des Champs 11,89,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,13,33.05,2.542,3.013,89 RUE DE RENNES,259171
2021,751062311,Notre-Dame des Champs 11,59,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,11,71.602,6.509,3.013,59 RUE DE RENNES,259191
2021,751062311,Notre-Dame des Champs 11,57,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,14,88.266,6.305,3.013,57 RUE DE RENNES,259192
2021,751062305,Notre-Dame des Champs 5,169,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,26,66.229,2.547,3.013,169 RUE DE RENNES,259200
2021,751062306,Notre-Dame des Champs 6,152,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,21,46.229,2.201,3.013,152 RUE DE RENNES,259206
2021,751062306,Notre-Dame des Champs 6,150,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,20,85.478,4.274,3.013,150 RUE DE RENNES,259207
2021,751062305,Notre-Dame des Champs 5,149,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,38,196.896,5.181,3.013,149 RUE DE RENNES,259208
2021,751062306,Notre-Dame des Champs 6,146,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,32,124.321,3.885,3.013,146 RUE DE RENNES,259210
2021,751062307,Notre-Dame des Champs 7,134,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,25,73.879,2.955,3.013,134 RUE DE RENNES,259214
2021,751062311,Notre-Dame des Champs 11,109,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,10,30.707,3.071,3.013,109 RUE DE RENNES,259226
2021,751062310,Notre-Dame des Champs 10,104,,RUE,DE RENNES,75056,Paris,RESIDENTIEL,17,44.885,2.64,3.013,104 RUE DE RENNES,259229
2021,751124614,Picpus 14,59,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,14,32.009,2.286,3.013,59 BOULEVARD DE REUILLY,259253
2021,751124614,Picpus 14,53,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,21,119.393,5.685,3.013,53 BOULEVARD DE REUILLY,259258
2021,751124612,Picpus 12,49,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,10,31.335,3.133,3.013,49 BOULEVARD DE REUILLY,259259
2021,751124612,Picpus 12,45,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,21,59.738,2.845,3.013,45 BOULEVARD DE REUILLY,259261
2021,751124612,Picpus 12,37,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,43,40.39,0.939,3.013,37 BOULEVARD DE REUILLY,259268
2021,751124612,Picpus 12,3,,BOULEVARD,DE REUILLY,75056,Paris,RESIDENTIEL,25,82.822,3.313,3.013,3 BOULEVARD DE REUILLY,259276
